"ItemYear","Y","N"
1927,0,1
1929,0,1
1930,0,3
1931,4,4
1932,0,4
1933,1,7
1934,1,6
1935,2,7
1936,0,9
1937,2,12
1938,1,8
1939,6,11
1940,6,12
1941,5,10
1942,3,9
1943,1,6
1944,3,8
1945,1,10
1946,4,13
1947,1,8
1948,1,14
1949,2,10
1950,2,8
1951,5,7
1952,1,12
1953,2,20
1954,3,9
1955,8,14
1956,3,11
1957,4,11
1958,4,10
1959,5,14
1960,5,11
1961,2,10
1962,5,11
1963,2,12
1964,5,12
1965,2,10
1966,1,9
1967,5,9
1968,4,9
1969,3,17
1970,1,18
1971,1,19
1972,4,13
1973,4,15
1974,4,10
1975,3,8
1976,2,9
1977,3,7
1978,1,14
1979,2,15
1980,2,18
1981,3,9
1982,4,13
1983,4,13
1984,5,11
1985,4,15
1986,4,13
1987,3,16
1988,8,18
1989,3,12
1990,3,12
1991,4,9
1992,3,12
1993,3,6
1994,2,14
1995,5,5
1996,3,9
1997,1,10
1998,4,6
1999,3,5
2000,4,7
2001,9,6
2002,6,4
